Event,Type
" Programming Foundations Training with JavaScript, HTML and CSS by Duke University ",Training
JavaScript Introduction Certification by W3C,Certifications
" HTML, CSS, and Javascript for Web Developers Training by Johns Hopkins",Training
 Interactivity with JavaScript by University of Michigan Training for free,Training
 Programming for the Web with JavaScript by University of Pennsylvania certification,Certifications
Exclusive talk on Modern JavaScript From The Beginning ,Talks
Webinar on  ES6 Javascript: The Complete Developer’s Guide ,Webinars
 JavaScript Essential Certification (LinkedIn Learning – Lynda),Certifications
The Complete JavaScript Course 2019: Build Real Projects!,Courses
online session Essentials in JavaScript ES6 - A Fun and Clear Introduction,Webinars
JavaScript Essentials 2019 Mini Course,Courses
The Complete Full-Stack JavaScript Course!,Courses
START YOUR CAREER WITH ANGULARJS  AT MINDMAJIX ,Jobs
START YOUR CAREER WITH Javascript  AT MINDMAJIX ,Jobs
Spring cloud training- Free demo ,Training
Software Development Training ,Training
Certified Associate in Project Management (CAPM),Certifications
Servicenow Asset Management training FREE Demo ,Training
Selenium with python training ,Training
Selenium Training using C++,Training
Association of International Product Marketing and Management (AIPMM) Certified Brand Manager,Certifications
 American Management Association :Certificate in Analytical Skills,Certifications
Python Training ,Training
C++ Training  for free,Training
PMP Project Management Professional,Certifications
Online NLP Training Using Python ,Training
Online Live Training Program - Web Development | ,Training
Online Live Training Program - Python Programming |  ,Training
Online Live Training Program - Machine Learning |,Training
Online Live Training Program - Internet of Things |,Training
Online Live Training Program - Data Science | ,Training
Online Live Training Program - Cybersecurity |  ,Training
Online Live Training Program - Android Development | ,Training
JavaScript Bootcamp - Build Real World Applications,Workshops
Vue.js Fast Crash Course,Courses
The Complete Node.js Developer Course (3rd Edition),Courses
MongoDB Training - Free demo ,Training
Mindmajix Provides .NET Training Online with a FREE Demo ,Training
JavaScript For Beginners - Learn JavaScript From Scratch,Courses
Microsoft Azure Training Provided by Industry Experts ,Training
Microsoft Azure Training by Real Time Experts ,Training
jQuery workshop : JavaScript and AJAX Coding Bible,Workshops
Microsoft Azure Training ,Training
JavaScript 2019: JavaScript ES6 training,Training
Microsoft Azure and Web Services Online Training ,Training
Microsoft Certified Solutions Associate (MCSA: Web Applications) Exam 70-480: Programming in HTML5 with JavaScript and CSS3,Certifications
Linux Training In Hyderabad ,Training
Linux Security Fundamentals Training ,Training
Linux Online Training by Industry Experts ,Training
Linux Networking Training ,Training
Learn Best AWS Training in Chennai ,Training
CIW JavaScript Specialist,Certifications
Kubernetes Training ,Training
Microsoft Technology Associate (MTA) Exam 98-382: Introduction to Programming Using JavaScript,Certifications
Keras Certification Course with Deeep Learning ,Training
Join Free demo on java scripting Training ,Training
Certified JavaScript Developer,Certifications
IronPython Training at Mindmajix ,Training
AWS Networking in depth: Learn practically in 7 hours,Courses
Learn OSI 7 Layers and Networking Background Concepts,Courses
The JavaScript Developer Certificate,Certifications
BUILD YOUR CAREER WITH ANGULARJS  AT MINDMAJIX ,Jobs
Big Data Online Training ,Training
AWS Training in Bangalore ,Training
AWS Training in Ahmadabad ,Training
Learn IT Networking Fundamentals For Complete Beginners,Courses
CNP - Certified Network Principles certificate,Certifications
Attend a Free Demo on Oracle Fusion SCM Training ,Training
Appium Online Training with a FREE Demo ,Training
Apigee online training ,Training
Alter your career oracle EBS Training ,Training
Ai With Tensorflow Training - Free demo ,Training
Advanced Research Publications Technology Management ,Training
Advance Your Career with Oracle SOA Training ,Training
Advace your career with sharepoint online training ,Training
Adobe analytical Training - Free Demo ,Training
Accelerate your career with Netsuite Certification Training ,Training
ACCELERATE YOUR CAREER WITH ANGULARJS TRAINING AT MINDMAJIX ,Training
Learn IT Networking Fundamentals For Complete Beginners,Courses
CNP - Certified Network Principles certificate,Certifications
"Register For Siebel CRM Free Live Webinar On 5th July, 7:00 PM (IST) ",Webinars
Free Live Webinar on Salesforce Admin -  Salesforce Admin in 60 Minutes ,Webinars
Free Live Webinar on Hyperion Financial  ,Webinars
Free Live Webinar on Catia - Learn Catia in 60 Minutes ,Webinars
Webinar on DigitalTransformation by Xpanxion on 23rd June '2020 at 3:30 pm,Webinars
"Webinar on 20 June with Lipika Dey:""Text Analytics for Health Care""",Webinars
"Webinar on 16 June with AbhiramRanade: ""Love CS, Learn CS!""",Webinars
Webinar on IOT applications in Industry 4.0,Webinars
Live Webinar with UClan starting in 30 minutes,Webinars
" Webinar on 9 June with AnuradhaLaxminarayan: ""7 Secrets about Programming that No Teacher/Book Ever ToldYou!""",Webinars
PRTG Network Monitoring Course,Courses
"Webinar on 2 June with SridharChimalakonda: ""What Is Software Engineering Anyway""?",Webinars
 Webinar - Study in UAE,Webinars
Exclusive Webinar on ?Best language for competitive programming ? Reserve your seat today!,Webinars
"Register for ACM India Industry Webinar 6 June with Chitra Lele:""Drug Development and Lifecycle Maintenance--What's It Got to Do withComputing?",Webinars
 Webinar on -Research Documentation tools - LyX andJabRef,Webinars
Join us for a Webinar Session on key takeaways from a Pre-placementtalk,Webinars
"ACM India Industry Webinar with Madhav Marathe, 25 April 2020",Webinars
Google Applied CS: Android Development using data structure online conference,Webinars
attend the online conference on Oracle Data Analytics,Webinars
RBCDSAI's International Summit on AI ,Webinars
A brand new lecture series from NPTEL by experts!,Webinars
Aws cloud 3 day online conference ,Webinars
Session on Present Your Data Effectively With Microsoft Excel and PowerPoint,Webinars
special session on Adobe Illustrator Fundamentals - Walkthrough of the Latest Features and Best Practices,Webinars
Live session Secrets to Become a Network Engineer in a Programmable Age,Webinars
webinar on The Future of IT Service Management (ITSM) with ITIL 4,Webinars
Penetrating Networks for CompTIA PenTest+ webinar,Webinars
Summit on Planning Microsoft Office 365 Workload and Application Deployment,Webinars
Learn Networking with Microsoft Windows Server 2016 (MS-20741B),Courses
"webinar on How to Pass the Project Management Professional (PMP) Exam, 6th Edition",Webinars
attend a session on How to Become a Cyber-threat Intelligence Analyst,Webinars
webinar on How can Agile Project Management Skills help in Delivering Top-Notch Customer's Delight?,Webinars
online conference on  Develop a Robust IT Security Architecture for Your Enterprise,Webinars
webinar on 5 Useful Data Analysis Expressions (DAX) Functions for Power BI Professionals,Webinars
online conference on What it Needs to be a Data Scientist - Roadmap Explained?,Webinars
presentation on Beyond Keystroke Logging and Trojans: How to Navigate the Changing Landscape of Cybersecurity,Webinars
3 day online conference on New Cisco Roadmap: Creating a Powerhouse IT Networking Team,Webinars
chance to attend session on Time Management Power Tips: Prioritize Tasks for Better Productivity,Webinars
online conference on Project Management Essentials for Non-project Managers,Webinars
"Angular Architecture: Planning, Organizing and Structuring webinar",Webinars
AWS: What's New in Amazon EC2 through aws experts ,Webinars
"webinar on Clean Architecture: Patterns, Practices, and Principles",Webinars
LIVE ONLINE TECHO WORKSHOP SERIES INCIDENT'20 NITK SURATHKAL & TECHOBYTES ,Workshops
Attend the workshop of machine learning.,Workshops
2 days Workshop on Java and Basic Concepts,Workshops
One day Workshop on Unix / Linux,Workshops
Free Workshop on Data Structure using C language,Workshops
Free Workshop on Data Structure using C language,Workshops
3 days free Workshop on Database Management System,Workshops
Python – IOT Workshop (Phase 1),Workshops
AngularJS Workshop (Pre requisites),Workshops
Hacking Workshop “Anshathon”,Workshops
Hacking Workshop “Anshathon”,Workshops
Seventh RBCDSAI Workshop on Recent Progress in Data Science and AI,Workshops
Hacking Workshop “Anshathon”,Workshops
Basics of Android workshop ,Workshops
"Online Workshop on ""Recent Advances in Science and Technology ofConcrete"" on May 2nd 2020",Workshops
Virtual workshop on Cloud computing ,Workshops
2 day workshop on cybersecurity,Workshops
3 days workshop on  Power BI: Data Analysis Made Easy,Workshops
2 day workshop on Azure DevOps: Understanding Continuous Delivery & DevOps,Workshops
 How to Build Effective Data Communications with Tableau Desktop 3 day workshops,Workshops
attend 10 hour workshop on Introduction to Data Analysis Using Microsoft Excel,Workshops
8 hours workshop on How to Successfully Migrate Office 365,Workshops
CEH: Understanding Ethical Hacking workshop join now,Workshops
Hands-On Power BI for Data Visualization,Workshops
hands on  Networking in Windows 10 Devices,Workshops
Project Management: Developing Project Schedules and Budgets a hands on session ,Workshops
Hands on session on software architectural patterns,Workshops
2 days workshop on C and C++ languages,Workshops
Bootcamp on blockchain absolutely free,Workshops
bootcamp on fundamentals of c and java,Workshops
Attend two days bootcamp on IOT applications,Workshops
Bootcamp for ML techies,Workshops
bootcamp on  Align DevOps with IT Service Management (ITSM) ,Workshops
Hands on session on cybersecurity tools,Workshops
 workshop for Boost IT efficiency with DevOps,Workshops
40 hour bootcamp on AI,Workshops
Programming in C - The Complete Course,Courses
TCP/IP Reference Model (Network Communications Course),Courses
Computer Networks: A Beginner’s guide to Computer Networking,Courses
Exclusive Talk on The true cost of financial dependence,Talks
Expert lecture on Let's get honest about our money problems,Talks
Advanced C Programming Course,Courses
Learn Finance Skills with Finance Online Courses,Courses
Online Financial Modelling - Online Certification program?,Certifications
C to Learn Programming Technique : C to Master Skills,Courses
1. Top Financial Analysis Courses Online - Updated ,Courses
Top Enterprise Architect Certifications ,Certifications
Certified Software Architect Microsoft Platform ,Certifications
GOTO 2014 Expo • Software Architecture vs. Code • Simon Brown,Expos
A talk on Using sagas to maintain data consistency in a microservice architecture by Chris Richardson,Talks
"Internship program on ""Agile Architecture"" - Molly Dishman & Martin Fowler Keynote",Internships
Online session on Design Patterns in the Light of Lambda Expressions by Subramaniam,Webinars
"""Agile Architecture"" - Molly Dishman & Martin Fowler Keynote",Talks
Software Architecture Conference 2019 – Engineering The ...,Webinars
Global Software Architecture Summit: GSAS,Expos
Internship opportunities in  Software Architecture Reinvented,Internships
Online conference of GIDS.Lead Dev: Refreshing Software Professional Development,Webinars
C Programming For Beginners -Build Bank ATM Machine Software,Courses
Learn IT: Software development - Reference from WhatIs.com,Courses
Live session onBest Practices in Software Development: Interface Overuse ...,Webinars
Understanding the Basics of C Programming,Courses
summer internships 2020 - 6 Weeks Online Internship?,Internships
Live talk on Develop confidence in  analysis and manegrial finance,Talks
ACM India Industry Webinar on 18 July with Srinivas Padmanabhuni: End to End Testing of AI Systems: Putting Quality Assurance Centre Stage,Webinars
"Register for  Webinar on 25 July with Jonaki Ghosh: ""Computational Thinking in the Mathematics Classroom",Webinars
ACM Chapter Event: TWO DAY VIRTUAL WORKSHOP ON LATEX,Workshops
"Register for ACM India Industry Webinar on 23 May with Manish Gupta: ""AI for India and Beyond""",Webinars
"Register for  Industry Webinar on 9 May with Suparna Bhattacharya: ""AI: When Will System Software Catch Up?""",Webinars
 Webinar on Machine Learning and Decision-Making with ACM Fellow Michael I. Jordan,Webinars
VIP Reminder:  Webinar on Machine Learning and Decision-Making with ACM Fellow Michael I. Jordan,Webinars
 ACM SIGSOFT Learning Webinar with Mathieu Nayrolles: Automated Debug & Profiling of AAA Games,Webinars
"Reminder to Register for ACM India Industry Webinar on 14 December with Sriram Rajamani: ""Program Synthesis Meets Machine Learning""",Webinars
"Reminder:Webinar with Adam Paszke, Co-Author of PyTorch: ""PyTorch: A Modern Library for Machine Learning""",Webinars
"Register for  Industry Webinar on 5 October with Kaarthik Sivakumar: ""Behind the Green Lock: Security for Today's Internet",Webinars
"April 27 ACM SIGSOFT Learning Webinar with Jeff Sutherland and Ivar Jacobson: ""A Better Scrum with Essence""",Webinars
"Reminder to Register for ACM India Industry Webinar on 3 August with Monish Darda: ""The Ethics of AI: Musk versus Bezos""",Webinars
"Register for ACM India Industry Webinar on 2 February with Gautam Shroff: ""Enterprise AI: Automation, Amplification, and Managing Complexity""",Webinars
"ACM India Industry Webinar, Sat Dec 1 at 11am IST with Dr. Pandurang Kamat: ""Blockchain in the Enterprise - Creating Value Beyond the Hype",Webinars
"VIP Reminder: July 8 Webinarwith Author and Python's Pandas Creator Wes McKinney: ""Apache Arrow and the Future of Data Frames""",Webinars
Register for ACM India Student Webinar on 2 June with Sridhar Chimalakonda: ?What Is Software Engineering Anyway??,Webinars
VIP Reminder: May 22 webinar on AWS Lambda with Luke Closs,Webinars
"February 25 ACM SIGAI webinar, ""Autonomous Manipulator Solutions for Mobile Robotics""",Webinars
Webinar on 'Application of AI in Core Engineering' - 25th June 2020 at 4PM,Webinars
"Webinar on""The Future of Management: Agile Leadership and Management 3.0""",Webinars
Register for Webinar : Management 3.0 – A Real Experiment with Agile Management Teams with no managers with Ralph van Roosmalen,Webinars
Webinar on October 2019: Leadership Agility for Modern Organizations and management with David Dame,Webinars
"Register for webinar on April 2019: Self management, the future of work, purpose-driven organizations and Holacracy with Brian Robertson",Webinars
Webinar on JavaScript Bootcamp for Beginners,Webinars
Webinar with Hack Reactor San Jose Coding Power Hour [Live-Online],Webinars
Register for Webinar with San Jose JavaScript Study Group [Live-Online],Webinars
Webinar on Data Science Virtual Informational Session,Webinars
Webinar on Galvanize Remote Part-time Data Science Information Session,Webinars
"Webinar on ""Learn to Code Denver: JavaScript 201 - Functions & Scope""",Webinars
IEEE ComSoc Webinar: 5G's Role in the Internet of Things -,Webinars
IEEE IoT Webinar: Integrating the IoT and Cultural Heritage in the Smart City,Webinars
IEEE IoT Webinar: Social Impact of and on IoT,Webinars
"Webinar on ""What Does the Future Hold for Cloud Computing?'",Webinars
"Weinar on ""AWS, Azure, and Google Cloud: Demystifying Multi-Cloud for Your Organization""",Webinars
IEEE Computer Society Webinar: Open Cirrus Cloud Computing Testbed: Federated Data Centers for Open Source Systems and Services Research,Webinars
WEBINAR: FUNDAMENTALS OF SOFTWARE ARCHITECTURE,Webinars
"Register for webinar on ""Software Architecture versus Software design - definition and differentiation""",Webinars
Live Webinar with JetBrains: Software Architecture as Code,Webinars
"Webinar on ""How to Launch a Central Bank Digital Currency on the Ethereum Blockchain""",Webinars
On-Demand Webinar: Blockchain and the Future of Commerce,Webinars
Free webinar: Getting started with C++ in embedded systems,Webinars
" Webinar on Future of higher education: short, medium and long-term perspectives around the world",Webinars
"Webinar on The future of internationalisation of higher education: short, medium and long-term perspectives",Webinars
